name,team,bye,CBSprojected,pos,ESPNprojected,NFLprojected,YAHOOprojected
Damiere Byrd,NE,5,35.6,WR,35.6,35.6,45.1
Devin Duvernay,BAL,7,34.4,WR,34.4,34.4,44.9
Equanimeous St. Brown,GB,5,33.6,WR,33.6,33.6,42.6
Denzel Mims,NYJ,10,31.5,WR,31.5,31.5,42.0
Scotty Miller,TB,13,31.5,WR,31.5,31.5,41.5
Antonio Gandy-Golden,WAS,8,30.5,WR,30.5,30.5,40.0
Cordarrelle Patterson,CHI,11,28.1,WR,28.1,28.1,37.5
Trent Taylor,SF,11,28.0,WR,28.0,28.0,36.0
Tajae Sharpe,MIN,7,27.9,WR,27.9,27.9,35.9
Greg Ward,PHI,9,27.5,WR,27.5,27.5,35.4
Andre Roberts,BUF,11,27.4,WR,27.4,27.4,34.2
Christian Blake,ATL,10,26.4,WR,26.4,26.4,34.1
KeeSean Johnson,ARI,8,26.2,WR,26.2,26.2,33.4
Nelson Agholor,LV,6,24.9,WR,24.9,24.9,32.4
Pharoh Cooper,CAR,13,24.4,WR,24.4,24.4,31.4
Auden Tate,CIN,9,23.7,WR,23.7,23.7,30.7
Javon Wims,CHI,11,21.5,WR,21.5,21.5,28.5
Ted Ginn Jr.,CHI,11,20.6,WR,20.6,20.6,27.6
KJ Hamler,DEN,5,20.2,WR,20.2,20.2,25.7
Kalif Raymond,TEN,4,19.5,WR,19.5,19.5,25.1
Deonte Harris,NO,6,19.1,WR,19.1,19.1,23.5
Cody Core,NYG,11,18.3,WR,18.3,18.3,22.8
Cedrick Wilson,DAL,10,13.6,WR,13.6,13.6,19.1
Seth Roberts,CAR,13,8.6,WR,8.6,8.6,12.1
Tyler Johnson,TB,13,8.6,WR,8.6,8.6,11.6
